#{"t_start": 1789385749.8017635, "env_id": "None"}
r,l,t
-4491.323295,5000,5.169203
-4409.571265,5000,9.594406
-4306.048473,5000,14.772171
-4541.612646,5000,18.906813
-4322.257863,5000,23.881108
-3957.721542,5000,27.983817
-3648.00831,5000,33.128341
-3160.885886,5000,37.363408
-2350.612666,5000,41.660396
-1829.985765,5000,46.973142
-1213.561423,5000,51.436923
-390.944344,5000,56.836068
315.896337,5000,61.242913
1229.361576,5000,66.853565
1982.957989,5000,71.391588
2648.679124,5000,76.650759
3432.401384,5000,81.150974
5295.313999,5000,85.731562
4867.189574,5000,91.185342
5223.700697,5000,95.710143
7737.96204,5000,101.252827
6024.477423,5000,105.837029
6449.356187,5000,111.224432
6601.53051,5000,115.744052
8474.512914,5000,121.103853
8650.490206,5000,125.753602
7086.54416,5000,130.352737
7996.58675,5000,135.822204
7340.030125,5000,140.314927
7781.741684,5000,145.857936
8239.688706,5000,150.365897
7803.74758,5000,155.830554
10332.111624,5000,160.608272
10495.519666,5000,166.267214
7819.614819,5000,170.98653
9199.714811,5000,175.910344
8714.283656,5000,181.471958
10409.398598,5000,186.140587
10824.616237,5000,191.664726
10932.568757,5000,196.343654
10339.855906,5000,201.870645
7626.425219,5000,206.440941
7839.425697,5000,210.888998
7948.284819,5000,216.265735
8807.196154,5000,220.921655
9264.362136,5000,226.48418
8352.558398,5000,231.118868
9320.260954,5000,236.750692
8450.198534,5000,241.35828
9274.490058,5000,246.892055
8571.136777,5000,251.566221
8607.794782,5000,256.245612
8722.004546,5000,261.730599
8781.742848,5000,266.46145
9000.163239,5000,272.054187
9123.11693,5000,276.749089
9237.175281,5000,282.319668
9544.921113,5000,287.323484
9741.150031,5000,292.833476
9825.816584,5000,297.473369
9848.985015,5000,302.065281
9960.596192,5000,307.630891
10013.483066,5000,312.253279
14437.666925,5000,317.843478
13762.56054,5000,322.55057
10009.049411,5000,327.92254
6249.252982,5000,332.362737
6365.885249,5000,337.613435
8367.163813,5000,342.105675
12926.442413,5000,346.732855
6395.490261,5000,352.031293
8476.633844,5000,356.562537
6918.486534,5000,361.858369
7205.45463,5000,366.290015
7121.752799,5000,371.575389
9502.603881,5000,376.168238
8269.161025,5000,380.638153
13463.421332,5000,386.172135
13401.801437,5000,390.903471
11229.913467,5000,396.654675
14285.12367,5000,401.37248
11968.372333,5000,406.816691
13802.204246,5000,411.427702
14211.012808,5000,416.943635
14527.479387,5000,421.59914
14647.70202,5000,426.273108
14448.56722,5000,431.809177
14337.778976,5000,436.41165
9388.404205,5000,441.821508
9505.923452,5000,446.393598
9622.96117,5000,451.799094
14733.86076,5000,456.535031
14327.424744,5000,462.018452
14515.722865,5000,466.675468
14615.978485,5000,471.31778
14715.000397,5000,476.860937
14724.908092,5000,481.465724
14728.248617,5000,486.979159
14619.697298,5000,491.601564
14737.802438,5000,497.156862
14728.044734,5000,502.073582
14729.332431,5000,507.856771
14729.986732,5000,512.473211
14736.035118,5000,517.059601
14729.672433,5000,522.521923
14737.155329,5000,527.203018
14734.472288,5000,532.686563
14735.649676,5000,537.33161
14733.845311,5000,542.834635
14737.832623,5000,547.548054
14728.650428,5000,552.27701
14740.394223,5000,557.788815
14731.682393,5000,562.478121
14747.697813,5000,568.041884
14748.072085,5000,572.665095
14730.408539,5000,578.240334
14729.481994,5000,582.992985
14733.964065,5000,588.5793
14580.842116,5000,593.31379
14710.737178,5000,598.089357
14329.589209,5000,603.736875
14460.884932,5000,608.896903
12643.081988,5000,614.608632
14234.55885,5000,619.273442
11483.875787,5000,624.803663
14331.657456,5000,629.600205
14718.38154,5000,635.105731
12443.527944,5000,639.755291
14529.568104,5000,644.427362
12318.733202,5000,650.040055
14191.79905,5000,654.807153
14672.37188,5000,660.417526
14717.699893,5000,665.14978
13813.66704,5000,670.760483
12312.93429,5000,675.428475
10428.723392,5000,680.828845
13631.648177,5000,685.491451
12763.710873,5000,690.074461
13050.379446,5000,695.566578
8698.035257,5000,700.148168
14745.429776,5000,705.860901
12868.162438,5000,710.641486
14696.698219,5000,716.97774
14279.288973,5000,721.737504
